# id	name	title	county
542	William McDaniel	County Commissioner, District 5	Collier
544	Neil Rainford	County Commissioner, District 2	Sarasota
545	Mark Smith	County Commissioner, District 3	Sarasota
546	Joe Barbetta	County Commissioner, District 4	Sarasota
547	Ron Cutsinger	County Commissioner, District 5	Sarasota
548	James Satcher	County Commissioner, District 1 (Chair)	Manatee
549	Mike Rahn	County Commissioner, District 2	Manatee
550	Kevin Van Ostenbridge	County Commissioner, District 3	Manatee
551	George Kruse	County Commissioner, District 5	Manatee
552	Amanda Ballard	County Commissioner, At Large 1	Manatee
553	Jason Bearden	County Commissioner, At Large 2	Manatee
554	Raymond Turner	County Commissioner, At Large 3	Manatee
555	Ron Oakley	County Commissioner, District 1	Pasco
556	Seth Weightman	County Commissioner, District 2	Pasco
558	Gary Bradford	County Commissioner, District 4	Pasco
560	Peggy Choudhry	County Commissioner, District 1 (Chair)	Osceola
562	Viviana Janer	County Commissioner, District 3	Osceola
563	Cheryl Grieb	County Commissioner, District 4	Osceola
570	Craig Curry	County Commissioner, District 1	Marion
571	Kathy Bryant	County Commissioner, District 2 (Chair)	Marion
572	Michelle Stone	County Commissioner, District 3	Marion
573	Carl Zalak III	County Commissioner, District 4	Marion
575	Anthony Bonna	County Commissioner, District 1	St. Lucie
576	Sean Mitchell	County Commissioner, District 2	St. Lucie
577	Larry Leet	County Commissioner, District 3	St. Lucie
578	Cathy Townsend	County Commissioner, District 4	St. Lucie
580	Doug Smith	County Commissioner, District 1	Martin
581	Stacey Hetherington	County Commissioner, District 2	Martin
583	Edward Ciampi	County Commissioner, District 4 (Chair)	Martin
585	Peter O'Bryan	County Commissioner, District 1	Indian River
586	Susan Adams	County Commissioner, District 2	Indian River
587	Joe Earman	County Commissioner, District 3 (Chair)	Indian River
588	Laura Moss	County Commissioner, District 4	Indian River
590	Jeff Bergosh	County Commissioner, District 1	Escambia
591	Mike Kohler	County Commissioner, District 2	Escambia
592	Lumon May	County Commissioner, District 3	Escambia
593	Robert Bender	County Commissioner, District 4	Escambia
594	Steven Barry	County Commissioner, District 5 (Chair)	Escambia
596	Jeremy Matlow	County Commissioner, District 3	Leon
601	Mike Cella	County Commissioner, District 1	Clay
602	Alexandra Compere	County Commissioner, District 2	Clay
603	James Renninger	County Commissioner, District 3	Clay
604	Betsy Condon	County Commissioner, District 4 (Chair)	Clay
605	Kristen Burke	County Commissioner, District 5	Clay
606	John Martin	County Commissioner, District 1	Nassau
607	Aaron Bell	County Commissioner, District 2	Nassau
608	Klynt Farmer	County Commissioner, District 3	Nassau
609	Thomas Ford	County Commissioner, District 4 (Chair)	Nassau
610	Jeff Gray	County Commissioner, District 5	Nassau
611	Joe Tiseo	County Commissioner, District 1	Charlotte
612	Chris Constance	County Commissioner, District 2 (Chair)	Charlotte
614	Bill Truex	County Commissioner, District 4	Charlotte
615	Stephen R. Deutsch	County Commissioner, District 5	Charlotte
616	Jeff Kinnard	County Commissioner, District 1	Citrus
617	Ron Kitchen Jr.	County Commissioner, District 2	Citrus
618	Ruthie Davis Schlabach	County Commissioner, District 3 (Chair)	Citrus
619	Scott Carnahan	County Commissioner, District 4	Citrus
620	Holly Davis	County Commissioner, District 5	Citrus
621	Steve Champion	County Commissioner, District 1	Hernando
623	Elizabeth Narverud	County Commissioner, District 3	Hernando
624	John Allocco	County Commissioner, District 4	Hernando
625	Brian Hawkins	County Commissioner, District 5	Hernando
627	James Scholl	County Commissioner, District 2	Monroe
628	Eddie Martinez	County Commissioner, District 3	Monroe
631	Jay Zembower	County Commissioner, District 1	Seminole
633	Chris Hall	County Commissioner, District 1	Collier
637	Rick LoCastro	County Commissioner, District 2	Collier
638	Mark Smith	County Commissioner, District 1	Sarasota
639	Joseph Neunder	County Commissioner, District 2	Sarasota
640	Neil Rainford	County Commissioner, District 3	Sarasota
641	Mike Moran	County Commissioner, District 4	Sarasota
643	James Satcher	County Commissioner, District 1	Manatee
647	Amanda Ballard	County Commissioner, District 4	Manatee
648	Jason Bearden	County Commissioner, District 6	Manatee
649	Carol Whitmore	County Commissioner, District 7 (At-Large)	Manatee
655	Peggy Choudhry	County Commissioner, District 1	Osceola
656	Viviana Janer	County Commissioner, District 2	Osceola
660	Joe Earman	County Commissioner, District 1	Indian River
662	Joe Flescher	County Commissioner, District 3	Indian River
667	Chris Dzadovsky	County Commissioner, District 3	St. Lucie
668	Jamie Fowler	County Commissioner, District 4	St. Lucie
669	Cathy Townsend	County Commissioner, District 5	St. Lucie
672	Harold Jenkins	County Commissioner, District 3 (Chair)	Martin
676	Chris Constance	County Commissioner, District 2	Charlotte
678	Bill Truex	County Commissioner, District 4 (Chair)	Charlotte
687	Sean Parks	County Commissioner, District 3	Lake
688	Douglas Shields	County Commissioner, District 4	Lake
689	Leslie Campione	County Commissioner, District 5 (Chair)	Lake
690	Griff Griffitts	County Commissioner, District 5	Bay
693	Robert Carroll	County Commissioner, District 2 (Chair)	Bay
695	Tim Murphy	County Commissioner, District 5	Columbia
697	Ricky Jernigan	County Commissioner, District 3	Columbia
698	Bucky Nash	County Commissioner, District 2	Columbia
703	Carolyn Ketchel	County Commissioner, District 2 (Chair)	Okaloosa
708	Kerry Smith	County Commissioner, District 2	Santa Rosa
709	Sam Parker	County Commissioner, District 1	Santa Rosa
710	Craig Estep	County Commissioner, District 5	Sumter
712	Oren Miller	County Commissioner, District 3 (Chair)	Sumter
715	Steve Stroberger	County Commissioner, District 1	Escambia
718	Ashlee Hofberger	County Commissioner, District 4	Escambia
719	Steven Barry	County Commissioner, District 5	Escambia
723	Thomas Ford	County Commissioner, District 4	Nassau
731	Kathy Bryant	County Commissioner, District 2	Marion
732	Jeff Gold	County Commissioner, District 3	Marion
733	Carl Zalak	County Commissioner, District 4	Marion
734	Michelle Stone	County Commissioner, District 5	Marion
736	John Allocco	County Commissioner, District 2	Hernando
737	Brian Hawkins	County Commissioner, District 3	Hernando
738	John Mitten	County Commissioner, District 4	Hernando
740	Rebecca Bays	County Commissioner, District 1	Citrus
742	Ron Kitchen Jr.	County Commissioner, District 3	Citrus
743	Jeff Kinnard	County Commissioner, District 4	Citrus
746	Carolyn Ketchel	County Commissioner, District 2	Okaloosa
748	Trey Goodwin	County Commissioner, District 4	Okaloosa
751	Jim Scholl	County Commissioner, District 2	Monroe
760	Robert Carroll	County Commissioner, District 1	Bay
767	Oren Miller	County Commissioner, District 3	Sumter
770	Tim Murphy	County Commissioner, District 1	Columbia
772	Bucky Nash	County Commissioner, District 3	Columbia
773	Toby Brewer	County Commissioner, District 4	Columbia
774	Rusty DePratter	County Commissioner, District 5	Columbia
775	Chris Campbell	County Commissioner, District 1	Highlands
777	Kevin Roberts	County Commissioner, District 3	Highlands
778	Scott Kirouac	County Commissioner, District 4	Highlands
779	Jim Brooks	County Commissioner, District 5	Highlands
780	Jim Peacock	County Commissioner, District 1	Jackson
781	Alex McKinnie	County Commissioner, District 2	Jackson
786	Terry Turner	County Commissioner, District 2	Putnam
787	Buddy Goddard	County Commissioner, District 3	Putnam
788	Jeff Helms	County Commissioner, District 4	Putnam
789	Chip Laibl	County Commissioner, District 5	Putnam
791	Danny Glidewell	County Commissioner, District 2	Walton
794	Bobby Brack	County Commissioner, District 5	Walton
795	Terry Burroughs	County Commissioner, District 1	Okeechobee
796	Brad Goodbread	County Commissioner, District 2	Okeechobee
797	David Hazellief	County Commissioner, District 3	Okeechobee
799	Terry Burroughs Jr.	County Commissioner, District 5	Okeechobee
801	Elton Langford	County Commissioner, District 2	DeSoto
802	Buddy Mansfield	County Commissioner, District 3	DeSoto
803	J.C. Deriso	County Commissioner, District 4	DeSoto
804	Jim Selph Jr.	County Commissioner, District 5	DeSoto
806	Scottie Rhoden	County Commissioner, District 2	Baker
807	James Bennett	County Commissioner, District 3	Baker
809	Rocky Rhoden	County Commissioner, District 5	Baker
810	Danny Riddick	County Commissioner, District 1	Bradford
811	Doyle Thomas	County Commissioner, District 2	Bradford
812	Eddie Lewis	County Commissioner, District 3	Bradford
813	Ross Chandler	County Commissioner, District 4	Bradford
814	Kenny Thompson	County Commissioner, District 5	Bradford
815	Matt Gavin	County Commissioner, District 1	Gadsden
816	Alonzetta Jones	County Commissioner, District 2	Gadsden
817	Eric Hinson	County Commissioner, District 3	Gadsden
818	Brenda Holt	County Commissioner, District 4	Gadsden
819	Kimberly McFarland	County Commissioner, District 5	Gadsden
820	Thomas Demps	County Commissioner, District 1	Jefferson
822	Derrick Jennings	County Commissioner, District 3	Jefferson
826	Pam Feagle	County Commissioner, District 2	Taylor
827	Thomas Demps	County Commissioner, District 3	Taylor
828	Malcolm Page	County Commissioner, District 4	Taylor
829	Steve Spradley	County Commissioner, District 5	Taylor
831	Fred Nichols	County Commissioner, District 2	Wakulla
832	Mike Kemp	County Commissioner, District 3	Wakulla
833	Quincee Messersmith	County Commissioner, District 4	Wakulla
834	Chuck Hess	County Commissioner, District 5	Wakulla
835	Steve Joyner	County Commissioner, District 1	Suwannee
836	Ricky Gamble	County Commissioner, District 2	Suwannee
840	David Goodman	County Commissioner, District 1	Alachua
841	Rock Meeks	County Commissioner, District 2	Alachua
842	Mike Joyner	County Commissioner, District 3	Alachua
847	Rick Knight	County Commissioner, District 3	Hardee
848	Russell Melendy	County Commissioner, District 4	Hardee
851	Michael Swindle	County Commissioner, District 2	Hendry
853	Mitchell Kemmerer	County Commissioner, District 4	Hendry
854	Emma Byrd	County Commissioner, District 5	Hendry
855	James Rideout	County Commissioner, District 1	Holmes
856	Jeff Good	County Commissioner, District 2	Holmes
857	Clint Erickson	County Commissioner, District 3	Holmes
858	Earl Stafford	County Commissioner, District 4	Holmes
859	Bobby Sasnett	County Commissioner, District 5	Holmes
860	Tray Hawkins	County Commissioner, District 1	Washington
862	Charles Kent	County Commissioner, District 3	Washington
863	Todd Abbott	County Commissioner, District 4	Washington
864	Hubert Hendrix	County Commissioner, District 5	Washington
865	Maura McCarthy Bulman	School Board Member, District 1	Broward
873	Debra Hixon	School Board Member, At-Large Seat 9	Broward
874	Erica Whitfield	School Board Member, District 1	Palm Beach
878	Frank Barbieri	School Board Member, District 5	Palm Beach
880	Bridget Ziegler	School Board Member, District 7	Palm Beach
882	Henry Washington Jr.	School Board Member, District 4	Hillsborough
888	Angie Gallo	School Board Chair, District 1	Orange
889	Johanna Lopez	School Board Member, District 2	Orange
891	Pam Gould	School Board Member, District 4	Orange
894	Melissa Byrd	School Board Member, District 7	Orange
895	Darryl Willie	School Board Chair, District 4	Duval
896	Lori Hershey	School Board Member, District 1	Duval
897	Elizabeth Andersen	School Board Member, District 2	Duval
898	Cindy Pearson	School Board Member, District 3	Duval
899	Warren Jones	School Board Member, District 5	Duval
900	Charlotte Joyce	School Board Member, District 6	Duval
901	April Scott	School Board Member, District 7	Duval
902	Debbie Jordan	School Board Chair, District 1	Lee
904	Chris Patricca	School Board Member, District 3	Lee
905	Jada Langford-Fleming	School Board Member, District 4	Lee
906	Sam Fisher	School Board Member, District 5	Lee
907	Armor Persons	School Board Member, District 6	Lee
908	Betsy Vaughn	School Board Member, District 7	Lee
910	Tommy Allen	School Board Member, District 2	St. Johns
911	Patrick Canan	School Board Member, District 3	St. Johns
913	Bill Mignon	School Board Member, District 5	St. Johns
914	Jamie Haynes	School Board Chair, District 1	Volusia
915	Anita Burnette	School Board Member, District 2	Volusia
916	Carl Persis	School Board Member, District 3	Volusia
917	Ruben Colón	School Board Member, District 4	Volusia
919	Luisa Santos	School Board Member, District 1	Miami-Dade
921	Lucia Baez-Geller	School Board Chair, District 3	Miami-Dade
922	Marta Pérez	School Board Member, District 4	Miami-Dade
924	Steve Gallon III	School Board Vice Chair, District 6	Miami-Dade
925	Lubby Navarro	School Board Member, District 7	Miami-Dade
927	Danny Espino	School Board Member, District 9	Miami-Dade
928	Lisa Cane	School Board Chair, District 1	Pinellas
934	Eileen Long	School Board Member, District 7	Pinellas
935	Kay Fields	School Board Chair, District 1	Polk
937	Lisa Miller	School Board Member, District 3	Polk
938	Lori Cunningham	School Board Member, District 4	Polk
939	Billy Townsend	School Board Member, District 5	Polk
940	Lynn Wilson	School Board Member, District 6	Polk
941	Rick Nolte	School Board Member, District 7	Polk
942	Megan Wright	School Board Chair, District 1	Brevard
943	Gene Trent	School Board Member, District 2	Brevard
944	Jennifer Jenkins	School Board Member, District 3	Brevard
945	Matt Susin	School Board Member, District 4	Brevard
946	Katye Campbell	School Board Member, District 5	Brevard
947	Kristine Kraus	School Board Member, District 1	Seminole
950	Tina Calderone	School Board Chair, District 4	Seminole
952	Jerry Gibson	School Board Chair, District 1	Collier
953	Stephanie Lucarelli	School Board Member, District 2	Collier
954	Kelly Lichter	School Board Member, District 3	Collier
957	Tom Edwards	School Board Chair, District 1	Sarasota
958	Karen Rose	School Board Member, District 2	Sarasota
959	Bridget Ziegler	School Board Member, District 3	Sarasota
960	Robyn Marinelli	School Board Member, District 4	Sarasota
961	Timothy Enos	School Board Member, District 5	Sarasota
962	Chad Choate	School Board Chair, District 1	Manatee
963	Mary Foreman	School Board Member, District 2	Manatee
964	James Golden	School Board Member, District 3	Manatee
965	Richard Tatem	School Board Member, District 4	Manatee
966	Cindy Spray	School Board Member, District 5	Manatee
968	James Washington	School Board Member, District 2	Pasco
971	Ally Bernstein	School Board Member, District 5	Pasco
972	Terry Castillo	School Board Chair, District 1	Osceola
973	Kelvin Soto	School Board Member, District 2	Osceola
974	Tim Weisheyer	School Board Member, District 3	Osceola
975	Julius Melendez	School Board Member, District 4	Osceola
976	Ricky Booth	School Board Member, District 5	Osceola
980	Shelley Hilliard	School Board Member, District 4	Lake
982	Tina Certain	School Board Chair, District 1	Alachua
983	Diyonne McGraw	School Board Member, District 2	Alachua
984	Mildred Russell	School Board Member, District 3	Alachua
987	Alex Stemle	School Board Chair, District 1	Leon
989	Laurie Cox	School Board Member, District 3	Leon
990	Rosanne Wood	School Board Member, District 4	Leon
991	Danielle Irwin	School Board Member, District 5	Leon
992	Kevin Adams	School Board Chair, District 1	Escambia
993	Paul Fetsko	School Board Member, District 2	Escambia
994	Bill Slayton	School Board Member, District 3	Escambia
995	Patty Hightower	School Board Member, District 4	Escambia
997	Teri Barenborg	School Board Chair, District 1	Indian River
998	Jacqueline Rosario	School Board Member, District 2	Indian River
999	Gene Posca	School Board Member, District 3	Indian River
1001	Brian Barefoot	School Board Member, District 5	Indian River
1002	Allison Campbell	School Board Chair, District 1	Marion
1003	Eric Cummings	School Board Member, District 2	Marion
1005	Don Browning	School Board Member, District 4	Marion
1006	Kelly King	School Board Member, District 5	Marion
1007	Cara Reynolds	School Board Chair, District 1	Charlotte
1009	Ruthie Lohmeyer	School Board Member, District 3	Charlotte
1010	Kim Amontree	School Board Member, District 4	Charlotte
1013	Daryl Johnson	County Commissioner, District 2	Calhoun
1015	Scott Deonas	County Commissioner, District 4	Calhoun
1016	Jeral Hall	County Commissioner, District 5	Calhoun
1017	Ricky Jones	County Commissioner, District 1	Franklin
1018	Bert Boldt	County Commissioner, District 2	Franklin
1020	Joseph Parrish	County Commissioner, District 4	Franklin
1021	Jessica Gay	County Commissioner, District 5	Franklin
1028	D. Ray Harrison Jr.	County Commissioner, District 2	Gilchrist
1029	Billy Philman	County Commissioner, District 3	Gilchrist
1030	Ken Philman	County Commissioner, District 4	Gilchrist
1032	Donna Storter-Long	County Commissioner, District 1	Glades
1033	Tim Stanley	County Commissioner, District 2	Glades
1034	Mark Lapp	County Commissioner, District 3	Glades
1035	John Ahern	County Commissioner, District 4	Glades
1036	Jerry Sapp	County Commissioner, District 5	Glades
1037	Mark Hatch	County Commissioner, District 1	Dixie
1038	James Valentine	County Commissioner, District 2	Dixie
1040	Jamie Johnson	County Commissioner, District 4	Dixie
1044	Donnie Browning	County Commissioner, District 3	Lafayette
1045	James Sullivan	County Commissioner, District 4	Lafayette
1046	Noel Roberts	County Commissioner, District 5	Lafayette
1047	Doyle Brown	County Commissioner, District 1	Liberty
1048	Jim Johnson	County Commissioner, District 2	Liberty
1049	David Crummie	County Commissioner, District 3	Liberty
1050	Davis Stoutamire	County Commissioner, District 4	Liberty
1051	Dexter Barber	County Commissioner, District 5	Liberty
1054	Alfred Martin	County Commissioner, District 3	Jefferson
1056	Rick Davis	County Commissioner, District 5	Jefferson
1057	Wayne Smith	County Commissioner, District 1	Columbia
1058	Channing Dobbs	County Commissioner, District 2	Columbia
1059	Ross Chandler	County Commissioner, District 3	Columbia
1060	Willie Whitehead	County Commissioner, District 4	Columbia
1061	Jimmy Tallman	County Commissioner, District 5	Columbia
1062	Robert Brown	County Commissioner, District 1	Columbia
1063	Randy Ogburn	County Commissioner, District 2	Columbia
1065	Buster Oxendine	County Commissioner, District 4	Columbia
1066	Beth Burnam	County Commissioner, District 5	Columbia
1067	Christia Li Roberts	School Board Chair, District 1	Martin
1068	Donna Powers	School Board Member, District 2	Martin
1077	Donna Martin	School Board Chair, District 1	Nassau
1080	Jonathan Wagner	School Board Member, District 4	Nassau
1082	Janice Kerekes	School Board Chair, District 1	Clay
1083	Erin Skipper	School Board Member, District 2	Clay
1085	Mary Bolla	School Board Member, District 4	Clay
1087	Linda Prescott	School Board Chair, District 1	Hernando
1090	Mark Johnson	School Board Member, District 4	Hernando
1091	Shannon Rodriguez	School Board Member, District 5	Hernando
1092	Virginia Bryant	School Board Chair, District 1	Citrus
1093	Thomas Kennedy	School Board Member, District 2	Citrus
1094	Ginger Bryant	School Board Member, District 3	Citrus
1095	Sandy Counts	School Board Member, District 4	Citrus
1097	Sally Moss	School Board Chair, District 1	Sumter
1099	Eddy Thompson	School Board Member, District 3	Sumter
1105	Andy Tuck	School Board Member, District 4	Highlands
1106	Joy Gerig	School Board Member, District 5	Highlands
1107	Linda Sanborn	School Board Chair, District 1	Santa Rosa
1108	Carol Boston	School Board Member, District 2	Santa Rosa
1109	Diane Scott	School Board Member, District 3	Santa Rosa
1110	Jennifer Granse	School Board Member, District 4	Santa Rosa
1111	Scott Peden	School Board Member, District 5	Santa Rosa
1112	Lamar White	School Board Chair, District 1	Okaloosa
1114	Linda Evanchyk	School Board Member, District 3	Okaloosa
1115	Tim Bryant	School Board Member, District 4	Okaloosa
1116	Diane Kelley	School Board Member, District 5	Okaloosa
1118	Bryce Googe	School Board Member, District 2	Bay
1119	Pamm Chapman	School Board Member, District 3	Bay
1121	Steve Moss	School Board Member, District 5	Bay
1123	Dana Brady	School Board Member, District 2	Columbia
1124	Stephanie Finnell	School Board Member, District 3	Columbia
1125	Hunter Peeler	School Board Member, District 4	Columbia
1126	Steve Nelson	School Board Member, District 5	Columbia
1127	Andy Griffiths	School Board Chair, District 1	Monroe
1128	Sue Woltanski	School Board Member, District 2	Monroe
1129	Bobby Highsmith	School Board Member, District 3	Monroe
1130	John Dick	School Board Member, District 4	Monroe
1131	Mindy Conn	School Board Member, District 5	Monroe
1134	Hazel Gillis	School Board Member, District 3	Walton
1135	Anthony Martin	School Board Member, District 4	Walton
1137	David Buckles	School Board Chair, District 1	Putnam
1138	Cynthia Giles	School Board Member, District 2	Putnam
1139	Holly Pickens	School Board Member, District 3	Putnam
1140	Sandra Gilyard	School Board Member, District 4	Putnam
1145	Brian Kramer	State Attorney, 8th Circuit	Alachua
1147	Phil Archer	State Attorney, 18th Circuit	Brevard
1148	Harold Pryor	State Attorney, 17th Circuit	Broward
1149	John Durrett	State Attorney, 3rd Circuit	Columbia
1150	Melissa Nelson	State Attorney, 4th Circuit	Duval
1151	Ginger Bowden Madden	State Attorney, 1st Circuit	Escambia
1152	Andrew Warren	State Attorney, 13th Circuit	Hillsborough
1153	Thomas Bakkedahl	State Attorney, 19th Circuit	Indian River
1154	Amira Fox	State Attorney, 20th Circuit	Lee
1155	Jack Campbell	State Attorney, 2nd Circuit	Leon
1158	Bill Gladson	State Attorney, 16th Circuit	Monroe
1159	Andrew Bain	State Attorney, 9th Circuit (appointed)	Orange
1164	Ed Brodsky	State Attorney, 12th Circuit	Sarasota
1165	R.J. Larizza	State Attorney, 7th Circuit	Volusia
1167	Pedro Garcia	Property Appraiser, Miami-Dade County	Miami-Dade
1173	Joe Scott	Supervisor of Elections, Broward County	Broward
1175	Dorothy Jacks	Property Appraiser, Palm Beach County	Palm Beach
1180	Nancy Millan	Tax Collector, Hillsborough County	Hillsborough
1186	Jody Phillips	Clerk of Circuit Court, Duval County	Duval
1189	Jerry Holland	Supervisor of Elections, Duval County	Duval
1190	Ken Burke	Clerk of Circuit Court, Pinellas County	Pinellas
1194	Kevin Karnes	Clerk of Circuit Court, Lee County	Lee
1196	Noelle Branning	Tax Collector, Lee County	Lee
1197	Tommy Doyle	Supervisor of Elections, Lee County	Lee
1198	Stacy Butterfield	Clerk of Circuit Court, Polk County	Polk
1200	Joe Tedder	Tax Collector, Polk County	Polk
1203	Dana Blickley	Property Appraiser, Brevard County	Brevard
1204	Lisa Cullen	Tax Collector, Brevard County	Brevard
1206	Laura Roth	Clerk of Circuit Court, Volusia County	Volusia
1207	Larry Bartlett	Property Appraiser, Volusia County	Volusia
1208	Will Roberts	Tax Collector, Volusia County	Volusia
1210	Grant Maloy	Clerk of Circuit Court, Seminole County	Seminole
1211	David Johnson	Property Appraiser, Seminole County	Seminole
1214	Karen Rushing	Clerk of Circuit Court, Sarasota County	Sarasota
1216	Barbara Ford-Coates	Tax Collector, Sarasota County	Sarasota
1221	Brian Corley	Supervisor of Elections, Pasco County	Pasco
1222	Angel Colonneso	Clerk of Circuit Court, Manatee County	Manatee
1223	Jim Todora	Property Appraiser, Manatee County	Manatee
1224	Ken Burton Jr.	Tax Collector, Manatee County	Manatee
1225	James Satcher	Supervisor of Elections, Manatee County	Manatee
1226	Crystal Kinzel	Clerk of Circuit Court, Collier County	Collier
1227	Abe Skinner	Property Appraiser, Collier County	Collier
1228	Abe Skinner	Tax Collector, Collier County	Collier
1231	Katrina Scarborough	Property Appraiser, Osceola County	Osceola
1233	Mary Jane Arrington	Supervisor of Elections, Osceola County	Osceola
1235	Michelle Franklin	Property Appraiser, St. Lucie County	St. Lucie
1236	Chris Craft	Tax Collector, St. Lucie County	St. Lucie
1240	David Jordan	Tax Collector, Lake County	Lake
1242	Gregory Harrell	Clerk of Circuit Court, Marion County	Marion
1244	George Albright	Tax Collector, Marion County	Marion
1246	Pam Childers	Clerk of Circuit Court, Escambia County	Escambia
1247	Chris Jones	Property Appraiser, Escambia County	Escambia
1248	Scott Lunsford	Tax Collector, Escambia County	Escambia
1249	Robert Bender	Supervisor of Elections, Escambia County	Escambia
1250	J.K. Irby	Clerk of Circuit Court, Alachua County	Alachua
1251	Ayesha Solomon	Property Appraiser, Alachua County	Alachua
1252	John Power	Tax Collector, Alachua County	Alachua
1253	Kim Barton	Supervisor of Elections, Alachua County	Alachua
1254	Roger Eaton	Clerk of Circuit Court, Charlotte County	Charlotte
1258	Jeffrey Barton	Clerk of Circuit Court, Indian River County	Indian River
1259	Wesley Davis	Property Appraiser, Indian River County	Indian River
1260	Carole Jean Jordan	Tax Collector, Indian River County	Indian River
1261	Leslie Swan	Supervisor of Elections, Indian River County	Indian River
